,Original File,Mapping
0,../registered_niftis/reg_RT_152.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_000_0000.nii.gz
0,../registered_niftis/reg_LT_146.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_001_0000.nii.gz
0,../registered_niftis/reg_RT_146.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_002_0000.nii.gz
0,../registered_niftis/reg_LT_145.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_003_0000.nii.gz
0,../registered_niftis/reg_RT_142.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_004_0000.nii.gz
0,../registered_niftis/reg_LT_169.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_005_0000.nii.gz
0,../registered_niftis/reg_LT_144.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_006_0000.nii.gz
0,../registered_niftis/reg_LT_151.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_007_0000.nii.gz
0,../registered_niftis/reg_RT_153.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_008_0000.nii.gz
0,../registered_niftis/reg_RT_144.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_009_0000.nii.gz
0,../registered_niftis/reg_RT_150.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_010_0000.nii.gz
0,../registered_niftis/reg_RT_138.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_011_0000.nii.gz
0,../registered_niftis/reg_LT_152.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_012_0000.nii.gz
0,../registered_niftis/reg_LT_138.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_013_0000.nii.gz
0,../registered_niftis/reg_LT_150.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_014_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform199-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_015_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform2-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_016_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform20-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_017_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform200-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_018_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform21-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_019_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform22-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_020_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform23-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_021_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform24-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_022_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform25-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_023_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform26-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_024_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform27-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_025_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform28-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_026_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform3-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_027_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform30-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_028_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform31-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_029_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform32-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_030_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform33-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_031_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform34-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_032_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform35-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_033_0000.nii.gz
0,../nii_files/Ablation_2/RT_153_deform36-downsample100.nii.gz,../03_ading_ablation_2/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task222_TemporalBone/imagesTr/jhu_034_0000.nii.gz
