,Original File,Mapping
0,../registered_niftis/reg_LT_145.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_000_0000.nii.gz
0,../registered_niftis/reg_LT_151.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_001_0000.nii.gz
0,../registered_niftis/reg_RT_142.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_002_0000.nii.gz
0,../registered_niftis/reg_RT_152.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_003_0000.nii.gz
0,../registered_niftis/reg_RT_153.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_004_0000.nii.gz
0,../registered_niftis/reg_LT_143.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_005_0000.nii.gz
0,../registered_niftis/reg_LT_144.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_006_0000.nii.gz
0,../registered_niftis/reg_LT_148.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_007_0000.nii.gz
0,../registered_niftis/reg_LT_169.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_008_0000.nii.gz
0,../registered_niftis/reg_LT_171.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_009_0000.nii.gz
0,../registered_niftis/reg_RT_143.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_010_0000.nii.gz
0,../registered_niftis/reg_RT_144.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_011_0000.nii.gz
0,../nii_files/Ablation_3/5_template/reg_LT_145_deform1-downsample100.nii.gz,../02_jsoong_ablation_3/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task305_TemporalBone/imagesTr/jhu_012_0000.nii.gz
