,Original File,Mapping
0,../registered_niftis/reg_RT_152.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_000_0000.nii.gz
0,../registered_niftis/reg_LT_146.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_001_0000.nii.gz
0,../registered_niftis/reg_RT_146.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_002_0000.nii.gz
0,../registered_niftis/reg_LT_145.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_003_0000.nii.gz
0,../registered_niftis/reg_RT_142.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_004_0000.nii.gz
0,../registered_niftis/reg_LT_169.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_005_0000.nii.gz
0,../registered_niftis/reg_LT_144.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_006_0000.nii.gz
0,../registered_niftis/reg_LT_151.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_007_0000.nii.gz
0,../registered_niftis/reg_RT_153.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_008_0000.nii.gz
0,../registered_niftis/reg_RT_144.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_009_0000.nii.gz
0,../registered_niftis/reg_RT_150.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_010_0000.nii.gz
0,../registered_niftis/reg_RT_138.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_011_0000.nii.gz
0,../registered_niftis/reg_LT_152.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_012_0000.nii.gz
0,../registered_niftis/reg_LT_138.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_013_0000.nii.gz
0,../registered_niftis/reg_LT_150.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_014_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform17-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_015_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform46-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_016_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform97-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_017_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform19-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_018_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform2-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_019_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform94-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_020_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform42-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_021_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform5-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_022_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform61-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_023_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform16-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_024_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform33-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_025_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform41-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_026_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform23-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_027_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform73-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_028_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform39-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_029_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform86-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_030_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform63-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_031_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform72-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_032_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform8-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_033_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform89-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_034_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform51-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_035_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform98-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_036_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform93-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_037_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform92-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_038_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform40-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_039_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform38-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_040_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform81-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_041_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform3-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_042_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform74-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_043_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform79-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_044_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform87-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_045_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform56-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_046_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform37-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_047_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform29-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_048_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform99-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_049_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform78-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_050_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform14-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_051_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform43-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_052_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform13-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_053_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform4-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_054_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform66-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_055_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform20-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_056_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform21-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_057_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform45-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_058_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform48-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_059_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform26-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_060_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform25-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_061_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform15-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_062_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform90-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_063_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform1-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_064_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform47-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_065_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform52-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_066_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform6-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_067_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform83-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_068_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform10-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_069_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform22-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_070_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform85-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_071_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform9-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_072_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform70-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_073_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform57-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_074_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform44-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_075_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform65-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_076_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform82-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_077_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform27-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_078_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform64-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_079_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform36-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_080_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform24-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_081_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform31-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_082_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform67-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_083_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform75-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_084_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform84-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_085_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform7-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_086_0000.nii.gz
0,../nii_files/20210404_images/RT_153_deform53-downsample60.nii.gz,../00_ading/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task101_TemporalBone/imagesTr/jhu_087_0000.nii.gz
